rank,personName,age,finalWorth,year,month,category,country,state,city,countryOfCitizenship,selfMade,gender,birthDate,title,philanthropyScore
1238,Zhang Ning & family,48,2500,2022,4,Manufacturing,China,,Shanghai,Canada,TRUE,F,01-04-1974,,
1238,Zhao Tao,56,2500,2022,4,Healthcare,China,,Xi'an,Singapore,FALSE,M,01-01-1966,,
1238,Hongyi Zhou,51,2500,2022,4,Technology,China,,Beijing,China,TRUE,M,01-10-1970,,
1292,Rajendra Agarwal,63,2400,2022,4,Healthcare,India,,Mumbai,India,TRUE,M,25-02-1959,,
1292,George Argyros & family,85,2400,2022,4,Real Estate,United States,California,Newport Beach,United States,TRUE,M,04-02-1937,Investor,3
1292,Edward Bass,76,2400,2022,4,Energy,United States,Texas,Fort Worth,United States,FALSE,M,10-09-1945,,3
1292,Banwari Lal Bawri,69,2400,2022,4,Healthcare,India,,Mumbai,India,TRUE,M,02-04-1953,,
1292,Girdhari Lal Bawri,74,2400,2022,4,Healthcare,India,,Mumbai,India,TRUE,M,03-08-1947,,
1292,Chao Teng-hsiung,77,2400,2022,4,Real Estate,Taiwan,,Taipei,Taiwan,TRUE,M,04-10-1944,,
1292,Zhisong Chen,56,2400,2022,4,Technology,China,,Xiamen,China,TRUE,M,07-01-1966,,
1292,Chey Tae-won,61,2400,2022,4,Telecom,South Korea,,Seoul,South Korea,FALSE,M,03-12-1960,,
1292,Choo Chong Ngen,68,2400,2022,4,Real Estate,Singapore,,Singapore,Singapore,TRUE,M,21-04-1953,,
1292,John Coates,52,2400,2022,4,Gambling & Casinos,United Kingdom,,Stoke-On-Trent,United Kingdom,TRUE,M,07-01-1970,,
1292,Alexandra Daitch,59,2400,2022,4,Food & Beverage,United States,Connecticut,Old Lyme,United States,FALSE,F,01-01-1963,,
1292,Chetan Dube,56,2400,2022,4,Technology,United States,New York,New York,United States,TRUE,M,05-01-1966,,
1292,Daniel Ek,39,2400,2022,4,Technology,Sweden,,Stockholm,Sweden,TRUE,M,21-02-1983,CEO,
1292,John Fisher,60,2400,2022,4,Fashion & Retail,United States,California,San Francisco,United States,FALSE,M,01-06-1961,President,2
1292,Bernard Fraisse & family,65,2400,2022,4,Healthcare,France,,Paris,France,TRUE,M,10-08-1956,,
1292,William Franke,84,2400,2022,4,Diversified,United States,Texas,Houston,United States,TRUE,M,15-04-1937,,
1292,Caroline Hagen Kjos,38,2400,2022,4,Diversified,Switzerland,,Wollerau,Norway,FALSE,F,01-01-1984,,
1292,Lam Kong,57,2400,2022,4,Healthcare,Hong Kong,,Hong Kong,China,TRUE,M,15-06-1964,,
1292,Hans Langer,70,2400,2022,4,Manufacturing,Germany,,Gräfelfing,Germany,TRUE,M,18-01-1952,,
1292,Joe Lau,32,2400,2022,4,Technology,United States,California,Stanford,United States,TRUE,M,01-07-1989,,
1292,Kevin David Lehmann,19,2400,2022,4,Fashion & Retail,,,,Germany,FALSE,M,01-09-2002,,
1292,Liang Qin & family,50,2400,2022,4,Technology,China,,Yangzhou,China,TRUE,F,26-10-1971,,
1292,Peter Lim,68,2400,2022,4,Finance & Investments,Singapore,,Singapore,Singapore,TRUE,M,01-06-1953,,
1292,Sarah MacMillan,68,2400,2022,4,Food & Beverage,United States,California,Los Angeles,United States,FALSE,F,01-01-1954,,
1292,Kalanithi Maran,56,2400,2022,4,Media & Entertainment,India,,Chennai,India,TRUE,M,26-07-1965,,
1292,Lirio Parisotto,68,2400,2022,4,Finance & Investments,Brazil,,Manaus,Brazil,TRUE,M,18-12-1953,,
1292,Rajan Raheja & family,67,2400,2022,4,Diversified,India,,Mumbai,India,FALSE,M,01-06-1954,,
1292,Alberto Roemmers,95,2400,2022,4,Healthcare,Argentina,,Buenos Aires,Argentina,FALSE,M,01-01-1927,,
1292,Rodney Sacks,72,2400,2022,4,Food & Beverage,United States,California,Laguna Beach,United States,TRUE,M,24-12-1949,CEO,
1292,Ferit Faik Sahenk,58,2400,2022,4,Diversified,Turkey,,Istanbul,Turkey,FALSE,M,18-03-1964,,
1292,Hilton Schlosberg,69,2400,2022,4,Food & Beverage,United States,California,Irvine,United Kingdom,TRUE,M,01-01-1953,,
1292,Alberto Siccardi & family,77,2400,2022,4,Healthcare,Switzerland,,Lugano,Switzerland,FALSE,M,01-05-1944,,
1292,Salil Singhal,74,2400,2022,4,Manufacturing,India,,Delhi,India,FALSE,M,21-07-1947,,
1292,Lucy Stitzer,62,2400,2022,4,Food & Beverage,United States,Connecticut,Greenwich,United States,FALSE,F,01-01-1960,,
1292,Otto Toto Sugiri,68,2400,2022,4,Technology,Indonesia,,Jakarta,Indonesia,TRUE,M,23-09-1953,,
1292,Harley Sy,62,2400,2022,4,Diversified,Philippines,,Manila,Philippines,FALSE,M,01-06-1959,,
1292,Teresita Sy-Coson,71,2400,2022,4,Diversified,Philippines,,Manila,Philippines,FALSE,F,01-10-1950,,
1292,Katsumi Tada,76,2400,2022,4,Real Estate,Japan,,Tokyo,Japan,TRUE,M,12-07-1945,,
1292,Tang Yiu,88,2400,2022,4,Fashion & Retail,Hong Kong,,Hong Kong,Hong Kong,TRUE,M,01-04-1934,,
1292,Jeff Tangney,49,2400,2022,4,Healthcare,United States,California,Palo Alto,United States,TRUE,M,09-08-1972,CEO,1
1292,Lottie Tham & family,72,2400,2022,4,Fashion & Retail,Sweden,,Stockholm,Sweden,FALSE,F,18-04-1949,,
1292,T.Y. Tsai,69,2400,2022,4,Finance & Investments,Taiwan,,Taipei,Taiwan,FALSE,M,01-01-1953,,
1292,Timur Turlov,34,2400,2022,4,Finance & Investments,Kazakhstan,,Almaty,Russia,TRUE,M,13-11-1987,,
1292,Hamdi Ulukaya,49,2400,2022,4,Food & Beverage,United States,New York,Norwich,Turkey,TRUE,M,26-10-1972,Entrepreneur,
1292,Peter Unger,77,2400,2022,4,Automotive,Germany,,Neustadt an der Waldnaab,Germany,TRUE,M,20-08-1944,,
1292,Nikil Viswanathan,34,2400,2022,4,Technology,United States,California,San Francisco,United States,TRUE,M,16-10-1987,,
1292,Anthony Wood,56,2400,2022,4,Technology,United States,California,Palo Alto,United States,TRUE,M,04-12-1965,,1
1292,Zhang Hongwei,67,2400,2022,4,Diversified,China,,Beijing,China,TRUE,M,26-12-1954,,
1292,Zhang Li,69,2400,2022,4,Real Estate,China,,Guangzhou,China,TRUE,M,01-01-1953,,
1341,Houshan Bai,58,2300,2022,4,Energy,China,,Ningbo,China,TRUE,M,01-01-1964,,
1341,Alex Beard,54,2300,2022,4,Metals & Mining,United Kingdom,,London,United Kingdom,TRUE,M,03-08-1967,,
1341,Koos Bekker,69,2300,2022,4,Media & Entertainment,South Africa,,Cape Town,South Africa,TRUE,M,14-12-1952,,
1341,William Boyd & family,90,2300,2022,4,Gambling & Casinos,United States,Nevada,Las Vegas,United States,TRUE,M,04-11-1931,,
1341,Timothy Boyle,72,2300,2022,4,Fashion & Retail,United States,Oregon,Portland,United States,TRUE,M,07-09-1949,,1
1341,Anand Burman,69,2300,2022,4,Food & Beverage,India,,Delhi,India,FALSE,M,05-05-1952,,
1341,Richard Chandler,63,2300,2022,4,Finance & Investments,Singapore,,Singapore,New Zealand,FALSE,M,01-01-1959,,
1341,R.G. Chandramogan,73,2300,2022,4,Food & Beverage,India,,Chennai,India,TRUE,M,01-03-1949,,
1341,Cho Young-sik,60,2300,2022,4,Healthcare,South Korea,,Seoul,South Korea,TRUE,M,30-06-1961,,
1341,Chu Lam Yiu,52,2300,2022,4,Manufacturing,Hong Kong,,Hong Kong,Hong Kong,TRUE,F,01-12-1969,,
1341,Kommer Damen,78,2300,2022,4,Manufacturing,Netherlands,,Gorinchem,Netherlands,FALSE,M,30-03-1944,,
1341,Henry Davis,71,2300,2022,4,Food & Beverage,United States,Nebraska,Omaha,United States,FALSE,M,16-02-1951,,
1341,Ray Davis,80,2300,2022,4,Energy,United States,Texas,Dallas,United States,TRUE,M,18-12-1941,,
1341,Stephen Feinberg,62,2300,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,29-03-1960,Co-founder and CEO,
1341,Kenneth Feld & family,73,2300,2022,4,Media & Entertainment,United States,Florida,Sarasota,United States,FALSE,M,31-10-1948,Chairman,1
1341,Alexander Frolov,57,2300,2022,4,Metals & Mining,Russia,,Moscow,Russia,TRUE,M,17-05-1964,,
1341,Mario Germano Giuliani,50,2300,2022,4,Healthcare,Monaco,,Monaco,Switzerland,FALSE,M,26-02-1972,,
1341,Serge Godin,72,2300,2022,4,Technology,Canada,,Westmount,Canada,TRUE,M,17-11-1949,Entrepreneur,
1341,Noam Gottesman,60,2300,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,24-05-1961,Chief Executive Officer,3
1341,Philip & Cristina Green,70,2300,2022,4,Fashion & Retail,United Kingdom,,London,United Kingdom,TRUE,,15-03-1952,,
1341,Yusuf Hamied,85,2300,2022,4,Healthcare,India,,Mumbai,India,FALSE,M,26-07-1936,,
1341,Bill Haslam,63,2300,2022,4,Fashion & Retail,United States,Tennessee,Knoxville,United States,FALSE,M,23-08-1958,,
1341,Hans-Werner Hector,82,2300,2022,4,Technology,Germany,,Weinheim,Germany,TRUE,M,17-01-1940,,
1341,Ho Hung Anh,51,2300,2022,4,Finance & Investments,Vietnam,,Hanoi,Vietnam,TRUE,M,08-06-1970,,
1341,Douglas Hsu,79,2300,2022,4,Diversified,Taiwan,,Taipei,Taiwan,FALSE,M,24-08-1942,,
1341,Erman Ilicak,54,2300,2022,4,Construction & Engineering,Turkey,,Ankara,Turkey,TRUE,M,03-10-1967,,
1341,Zhaobai Jiang,58,2300,2022,4,Real Estate,China,,Shanghai,China,TRUE,M,17-08-1963,,
1341,Osman Kibar,51,2300,2022,4,Healthcare,United States,California,La Jolla,United States,TRUE,M,01-04-1971,"Founder, CEO",
1341,Adam Kwok,39,2300,2022,4,Real Estate,Hong Kong,,Hong Kong,Hong Kong,FALSE,M,01-04-1983,,
1341,Frank Laukien,62,2300,2022,4,Manufacturing,United States,Massachusetts,Boston,United States,FALSE,M,04-02-1960,,
1341,Louis Le Duff,75,2300,2022,4,Food & Beverage,France,,Paris,France,TRUE,M,01-08-1946,,
1341,Solomon Lew,77,2300,2022,4,Fashion & Retail,Australia,,Melbourne,Australia,TRUE,M,22-03-1945,,
1341,Liang Rubo,39,2300,2022,4,Technology,China,,Beijing,China,TRUE,M,01-01-1983,,
1341,Liang Zhaoxian,57,2300,2022,4,Manufacturing,China,,Foshan,China,FALSE,M,01-01-1965,,
1341,Prayudh Mahagitsiri,76,2300,2022,4,Food & Beverage,Thailand,,Bangkok,Thailand,FALSE,M,01-01-1946,,
1341,Clayton Mathile,81,2300,2022,4,Food & Beverage,United States,Ohio,Brookville,United States,TRUE,M,11-01-1941,"Investor, Philanthropist",4
1341,Erwin Franz Mueller,89,2300,2022,4,Fashion & Retail,Germany,,Ulm,Germany,TRUE,M,09-08-1932,Entrepreneur,
1341,David Murdock,98,2300,2022,4,Food & Beverage,United States,California,Ventura,United States,TRUE,M,10-04-1923,,
1341,Rubens Ometto Silveira Mello,72,2300,2022,4,Energy,Brazil,,Sao Paulo,Brazil,FALSE,M,01-01-1950,,
1341,Erik Paulsson & family,80,2300,2022,4,Real Estate,Sweden,,Båstad,Sweden,TRUE,M,31-01-1942,,
1341,Heloise Pratt,59,2300,2022,4,Manufacturing,Australia,,Melbourne,Australia,FALSE,F,13-09-1962,,
1341,Qiu Jianping & family,60,2300,2022,4,Manufacturing,China,,Hangzhou,China,TRUE,M,28-01-1962,,
1341,Dirk Rossmann & family,75,2300,2022,4,Fashion & Retail,Germany,,Lower-Saxony,Germany,TRUE,M,07-09-1946,,
1341,Karin Schick,,2300,2022,4,Technology,Germany,,Gaildorf,Germany,FALSE,F,,Entrepreneur,
1341,Stephan Schmidheiny,74,2300,2022,4,Finance & Investments,Switzerland,,Hurden,Switzerland,FALSE,M,29-10-1947,,
1341,Wenrong Shen,76,2300,2022,4,Metals & Mining,China,,Zhangjiagang,China,TRUE,M,13-02-1946,,
1341,Guangxin Sun,59,2300,2022,4,Diversified,China,,Urumqi,China,TRUE,M,01-12-1962,,
1341,Mengquan Sun & family,72,2300,2022,4,Food & Beverage,China,,Yantai,China,TRUE,M,01-03-1950,,
1341,Thomas Tull,51,2300,2022,4,Media & Entertainment,United States,Pennsylvania,Pittsburgh,United States,TRUE,M,11-06-1970,,2
1341,Ted Turner,83,2300,2022,4,Media & Entertainment,United States,Georgia,Atlanta,United States,FALSE,M,19-11-1938,,5
1341,David Walentas,83,2300,2022,4,Real Estate,United States,New York,New York,United States,TRUE,M,07-08-1938,,1
1341,Yingming Wu,55,2300,2022,4,Energy,China,,Ningde,China,TRUE,M,01-01-1967,,
1341,Yingzhuo Xu,54,2300,2022,4,Food & Beverage,China,,Guangzhou,China,TRUE,M,01-01-1968,,
1341,Christoph Zeller,64,2300,2022,4,Healthcare,Liechtenstein,,Vaduz,Liechtenstein,FALSE,M,04-05-1957,,
1341,Zhang Wanzhen,72,2300,2022,4,Manufacturing,China,,Chaozhou,China,TRUE,M,01-12-1949,,
1341,Xiaojuan Zhang,52,2300,2022,4,Logistics,China,,Shanghai,China,TRUE,F,01-10-1969,,
1397,Michael Ashcroft,76,2200,2022,4,Finance & Investments,Turks and Caicos Islands,,Turks and Caicos Islands,United Kingdom,TRUE,M,01-01-1946,,
1397,Alex Atallah,30,2200,2022,4,Technology,United States,New York,New York,United States,TRUE,M,09-03-1992,Cofounder,
1397,Brett Blundy,62,2200,2022,4,Fashion & Retail,Bahamas,,Paradise Island,Australia,TRUE,M,17-01-1960,,
1397,Chris Britt,49,2200,2022,4,Finance & Investments,United States,California,San Francisco,United States,TRUE,M,17-03-1973,,
1397,Cen Junda,57,2200,2022,4,Healthcare,China,,Lianyungang,China,TRUE,M,18-06-1964,,
1397,Yadu Hari Dalmia & family,74,2200,2022,4,Manufacturing,India,,Delhi,India,FALSE,M,02-06-1947,,
1397,Zhenggang Dou,68,2200,2022,4,Diversified,China,,Hangzhou,China,TRUE,M,21-05-1953,,
1397,Weimin Du,58,2200,2022,4,Healthcare,China,,Shenzhen,China,TRUE,M,01-12-1963,,
1397,Devin Finzer,31,2200,2022,4,Technology,United States,New York,New York,United States,TRUE,M,18-10-1990,,
1397,Robert Friedland,71,2200,2022,4,Metals & Mining,Singapore,,Singapore,United States,TRUE,M,18-08-1950,Founder and Executive Chairman,
1397,Phillip Frost,85,2200,2022,4,Healthcare,United States,Florida,Miami Beach,United States,TRUE,M,11-11-1936,,3
1397,Jeffrey Gundlach,63,2200,2022,4,Finance & Investments,United States,California,Los Angeles,United States,TRUE,M,01-01-1959,CEO,
1397,John Hancock,46,2200,2022,4,Metals & Mining,United Kingdom,,London,Australia,FALSE,M,02-01-1976,,
1397,Georg Haub,60,2200,2022,4,Fashion & Retail,Germany,,Berlin,Germany,FALSE,M,01-01-1962,,
1397,Hortensia Herrero,71,2200,2022,4,Fashion & Retail,Spain,,Valencia,Spain,FALSE,F,20-05-1950,,
1397,"B. Wayne Hughes, Jr.",61,2200,2022,4,Real Estate,United States,California,Malibu,United States,FALSE,M,01-01-1961,,
1397,Bruce Karsh,66,2200,2022,4,Finance & Investments,United States,California,Los Angeles,United States,TRUE,M,10-10-1955,President,3
1397,Shlomo Kramer,56,2200,2022,4,Technology,Israel,,Tel Aviv,Israel,TRUE,M,14-03-1966,,
1397,Jonathan Kwok,30,2200,2022,4,Real Estate,Hong Kong,,Hong Kong,Hong Kong,FALSE,M,01-03-1992,,
1397,Christian Latouche,81,2200,2022,4,Finance & Investments,France,,Lyon,France,TRUE,M,18-07-1940,,
1397,Martin Lau,49,2200,2022,4,Technology,Hong Kong,,Hong Kong,Hong Kong,TRUE,M,01-04-1973,,
1397,Li Wa,56,2200,2022,4,Real Estate,China,,Shenzhen,Hong Kong,TRUE,M,01-01-1966,,
1397,Liang Xinjun,54,2200,2022,4,Diversified,China,,Shanghai,China,TRUE,M,01-01-1968,,
1397,Lin Chang Su-O,81,2200,2022,4,Real Estate,Taiwan,,Taipei,Taiwan,FALSE,F,01-08-1940,,
1397,Lin Fanlian,60,2200,2022,4,Energy,China,,Linyi,China,TRUE,M,01-06-1961,,
1397,Lin Lairong & family,53,2200,2022,4,Metals & Mining,China,,Bayannur,China,TRUE,M,09-08-1968,,
1397,Daniel Lubetzky,53,2200,2022,4,Food & Beverage,United States,New York,New York,United States,TRUE,M,28-09-1968,,
1397,Howard Marks,75,2200,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,23-04-1946,Chairman,
1397,Craig McCaw,72,2200,2022,4,Telecom,United States,Washington,Hunts Point,United States,FALSE,M,11-08-1949,,
1397,Vincent McMahon,76,2200,2022,4,Sports,United States,Connecticut,Greenwich,United States,TRUE,M,24-08-1945,,1
1397,Mu Rongjun,42,2200,2022,4,Technology,China,,Beijing,China,TRUE,M,01-01-1980,,
1397,Jonathan Nelson,65,2200,2022,4,Finance & Investments,United States,Rhode Island,Providence,United States,TRUE,M,18-05-1956,Chief executive officer,
1397,Bianca Rinehart,45,2200,2022,4,Metals & Mining,Australia,,Brisbane,Australia,FALSE,F,19-03-1977,,
1397,Ginia Rinehart,35,2200,2022,4,Metals & Mining,Australia,,Sydney,Australia,FALSE,F,06-09-1986,,
1397,Filiz Sahenk,55,2200,2022,4,Diversified,Turkey,,Istanbul,Turkey,FALSE,F,14-02-1967,,
1397,S.D. Shibulal,67,2200,2022,4,Technology,India,,Bangalore,India,TRUE,M,01-03-1955,,
1397,Alexander Svetakov,54,2200,2022,4,Finance & Investments,Russia,,Moscow,Russia,TRUE,M,15-02-1968,,
1397,Jeffrey Talpins,47,2200,2022,4,Finance & Investments,United States,New York,Larchmont,United States,TRUE,M,06-03-1975,Founder,
1397,Ming Tian,68,2200,2022,4,Technology,China,,Hefei,China,TRUE,M,20-12-1953,,
1397,Arvind Tiku,52,2200,2022,4,Energy,Singapore,,Singapore,India,TRUE,M,22-02-1970,,
1397,Torsten Toeller,55,2200,2022,4,Fashion & Retail,Germany,,Krefeld,Germany,TRUE,M,06-04-1966,,
1397,Riaz Valani,45,2200,2022,4,Finance & Investments,United States,California,Malibu,United States,TRUE,M,01-09-1976,,
1397,Pieter van der Does,52,2200,2022,4,Technology,Netherlands,,Amsterdam,Netherlands,TRUE,M,01-05-1969,Entrepreneur,
1397,Lang Walker,76,2200,2022,4,Real Estate,Australia,,Sydney,Australia,TRUE,M,05-07-1945,,
1397,Hope Welker,36,2200,2022,4,Metals & Mining,United States,New York,New York,Australia,FALSE,F,13-08-1985,,
1397,Xie Bingkun & family,55,2200,2022,4,Fashion & Retail,China,,Fuzhou,China,TRUE,M,25-08-1966,,
1397,William Young,81,2200,2022,4,Manufacturing,United States,Michigan,Ypsilanti,United States,TRUE,M,01-01-1941,,1
1397,Zhou Jian,45,2200,2022,4,Energy,China,,Shenzhen,China,TRUE,M,01-07-1976,,
1445,Bill and Jean Adderley & family,,2100,2022,4,Fashion & Retail,United Kingdom,,Leicester,United Kingdom,TRUE,,,,
1445,Mohamed Al Fayed,93,2100,2022,4,Fashion & Retail,United Kingdom,,London,Egypt,TRUE,M,27-01-1929,,
1445,Faisal Bin Qassim Al Thani,74,2100,2022,4,Diversified,Qatar,,Doha,Qatar,TRUE,M,01-01-1948,,
1445,Masaaki Arai,56,2100,2022,4,Real Estate,Japan,,Tokyo,Japan,TRUE,M,29-10-1965,,
1445,Tatyana Bakalchuk,46,2100,2022,4,Fashion & Retail,Russia,,Moscow region,Russia,TRUE,F,16-10-1975,,
1445,Lee Bass,65,2100,2022,4,Energy,United States,Texas,Fort Worth,United States,FALSE,M,24-05-1956,,2
1445,Alberto Bombassei,81,2100,2022,4,Automotive,Italy,,Bergamo,Italy,FALSE,M,05-10-1940,,
1445,Jim Breyer,60,2100,2022,4,Technology,United States,Texas,Austin,United States,TRUE,M,26-07-1961,Investor,2
1445,Ron Burkle,69,2100,2022,4,Finance & Investments,United Kingdom,,London,United States,TRUE,M,12-11-1952,Investor,
1445,Chen Huwen,51,2100,2022,4,Manufacturing,China,,Shanghai,China,TRUE,M,01-07-1970,,
1445,Chen Huxiong,51,2100,2022,4,Manufacturing,China,,Shanghai,China,TRUE,M,01-07-1970,,
1445,Chen Xuehua,61,2100,2022,4,Metals & Mining,China,,Tongxiang,China,TRUE,M,01-01-1961,,
1445,Bruce Cheng,86,2100,2022,4,Technology,Taiwan,,Taipei,Taiwan,TRUE,M,01-01-1936,,
1445,Ryan Cohen,36,2100,2022,4,Finance & Investments,United States,Florida,Bal Harbour,Canada,TRUE,M,04-08-1985,,
1445,Dermot Desmond,71,2100,2022,4,Finance & Investments,Ireland,,Dublin,Ireland,TRUE,M,01-07-1950,,
1445,Fred Ehrsam,33,2100,2022,4,Finance & Investments,United States,Florida,Miami,United States,TRUE,M,10-05-1988,Cofounder,
1445,John Elkann,46,2100,2022,4,Finance & Investments,Italy,,Turin,Italy,FALSE,M,04-01-1976,,
1445,Bob Ell,77,2100,2022,4,Real Estate,Australia,,Surfers Paradise,Australia,TRUE,M,22-12-1944,,
1445,Fang Xiaoliang & family,63,2100,2022,4,Healthcare,China,,Huzhou,China,TRUE,M,01-09-1958,,
1445,Lindsay Fox,84,2100,2022,4,Logistics,Australia,,Melbourne,Australia,TRUE,M,19-04-1937,,
1445,Gary Friedman,64,2100,2022,4,Fashion & Retail,United States,California,Belvedere,United States,TRUE,M,06-08-1957,,
1445,Gordon Getty,88,2100,2022,4,Energy,United States,California,San Francisco,United States,FALSE,M,20-12-1933,President and Chairman,3
1445,Dennis Gillings,77,2100,2022,4,Healthcare,United States,North Carolina,Durham,United Kingdom,TRUE,M,25-04-1944,,
1445,Harsh Goenka,64,2100,2022,4,Diversified,India,,Mumbai,India,FALSE,M,10-12-1957,,
1445,David Hains,91,2100,2022,4,Finance & Investments,Australia,,Melbourne,Australia,TRUE,M,19-08-1930,,
1445,Bahaa Hariri,55,2100,2022,4,Real Estate,Switzerland,,Geneva,Lebanon,FALSE,M,26-04-1966,,
1445,Shmuel Harlap,77,2100,2022,4,Automotive,Israel,,Tel Aviv,Israel,FALSE,M,13-11-1944,,
1445,Gerry Harvey,82,2100,2022,4,Fashion & Retail,Australia,,Sydney,Australia,TRUE,M,18-09-1939,,
1445,Reid Hoffman,54,2100,2022,4,Technology,United States,California,Palo Alto,United States,TRUE,M,05-08-1967,Entrepreneur,
1445,Hou Juncheng,57,2100,2022,4,Healthcare,China,,Hangzhou,China,TRUE,M,17-12-1964,,
1445,Thomas James,79,2100,2022,4,Finance & Investments,United States,Florida,Saint Petersburg,United States,FALSE,M,10-05-1942,,
1445,Eiichi Kuriwada,75,2100,2022,4,Logistics,Japan,,Osaka,Japan,TRUE,M,10-10-1946,,
1445,Kwek Leng Kee,67,2100,2022,4,Diversified,Singapore,,Singapore,Singapore,FALSE,M,01-01-1955,,
1445,Lai Shixian,47,2100,2022,4,Fashion & Retail,China,,Quanzhou,China,TRUE,M,01-01-1975,,
1445,Lau Cho Kun,86,2100,2022,4,Diversified,Malaysia,,"Tawau, Sabah",Malaysia,FALSE,M,10-01-1936,,
1445,Lee Hae-jin,54,2100,2022,4,Technology,South Korea,,Seoul,South Korea,TRUE,M,22-06-1967,,
1445,Harald Link,67,2100,2022,4,Diversified,Thailand,,Bangkok,Thailand,FALSE,M,12-01-1955,,
1445,Liu Xiucai & family,65,2100,2022,4,Manufacturing,China,,Shanghai,United States,TRUE,M,01-03-1957,,
1445,Yangyong Luo & family,46,2100,2022,4,Metals & Mining,China,,Panzhihua,China,TRUE,M,02-06-1975,,
1445,Igor Makarov,60,2100,2022,4,Energy,United States,Florida,Miami,Russia,TRUE,M,05-04-1962,,
1445,Alexander Mamut,62,2100,2022,4,Finance & Investments,Israel,,Tel Aviv,Russia,TRUE,M,29-01-1960,,
1445,David Mindus,50,2100,2022,4,Real Estate,Sweden,,Stockholm,Sweden,TRUE,M,26-01-1972,,
1445,Yuji Otsuka,68,2100,2022,4,Technology,Japan,,Tokyo,Japan,FALSE,M,13-02-1954,,
1445,Clive Palmer,68,2100,2022,4,Metals & Mining,Australia,,Brisbane,Australia,TRUE,M,26-03-1954,,
1445,Ajay Parekh,64,2100,2022,4,Manufacturing,India,,Mumbai,India,FALSE,M,23-06-1957,,
1445,Narendrakumar Parekh,83,2100,2022,4,Manufacturing,India,,Mumbai,India,FALSE,M,17-04-1938,,
1445,Xiangdong Qi,51,2100,2022,4,Technology,China,,Beijing,China,TRUE,M,01-10-1970,,
1445,Jianhua Ren,65,2100,2022,4,Manufacturing,China,,Hangzhou,China,TRUE,M,01-08-1956,,
1445,Alice Schwartz,95,2100,2022,4,Healthcare,United States,California,El Cerrito,United States,TRUE,F,02-07-1926,,
1445,Peter Sondakh,72,2100,2022,4,Finance & Investments,Indonesia,,Surabaya,Indonesia,TRUE,M,26-02-1950,,
1445,Song Fei,55,2100,2022,4,Manufacturing,China,,Yantai,China,TRUE,M,12-09-1966,,
1445,Timothy Springer,74,2100,2022,4,Healthcare,United States,Massachusetts,Chestnut Hill,United States,TRUE,M,23-02-1948,,1
1445,Suyu Su & family,73,2100,2022,4,Real Estate,China,,Shantou,China,TRUE,F,24-11-1948,,
1445,Elizabeth Sy,69,2100,2022,4,Diversified,Philippines,,Manila,Philippines,FALSE,F,01-06-1952,,
1445,Sukanto Tanoto,72,2100,2022,4,Diversified,Singapore,,Singapore,Indonesia,TRUE,M,25-12-1949,,
1445,Jayshree Ullal,61,2100,2022,4,Technology,United States,California,Saratoga,United States,TRUE,F,27-03-1961,,
1445,Sunny Varkey,64,2100,2022,4,Service,United Arab Emirates,,Dubai,India,FALSE,M,09-04-1957,,
1445,Jitendra Virwani,56,2100,2022,4,Real Estate,India,,Bangalore,India,FALSE,M,18-02-1966,,
1445,Wang Ren-sheng,90,2100,2022,4,Fashion & Retail,China,,Zhengzhou,Taiwan,TRUE,M,01-12-1931,,
1445,Wang Wenmo,65,2100,2022,4,Fashion & Retail,China,,Quanzhou,China,TRUE,M,01-01-1957,,
1445,Thomas Wu,72,2100,2022,4,Finance & Investments,Taiwan,,Taipei,Taiwan,FALSE,M,01-04-1950,,
1445,Wu Ying,57,2100,2022,4,Manufacturing,China,,Xianyang,China,TRUE,M,16-04-1964,,
1445,Amy Wyss,51,2100,2022,4,Healthcare,United States,Wyoming,Wilson,United States,FALSE,F,01-01-1971,,2
1445,Xiang Guangming & family,58,2100,2022,4,Manufacturing,China,,Wenzhou,China,TRUE,M,01-10-1963,,
1445,Xu Shugen,56,2100,2022,4,Manufacturing,China,,Hangzhou,China,TRUE,M,12-06-1965,,
1445,Steven Meng Yang & family,39,2100,2022,4,Technology,China,,Changsha,China,TRUE,M,01-05-1982,,
1445,Clayton Zekelman,53,2100,2022,4,Manufacturing,Canada,,Windsor,Canada,FALSE,M,01-01-1969,,
1445,Hongfei Zhao,47,2100,2022,4,Technology,China,,Beijing,China,TRUE,M,01-06-1974,,
1513,S. Daniel Abraham,97,2000,2022,4,Food & Beverage,United States,Florida,Palm Beach,United States,TRUE,M,15-08-1924,Chairman,3
1513,Aziz Akhannouch & family,61,2000,2022,4,Diversified,Morocco,,Casablanca,Morocco,FALSE,M,01-01-1961,,
1513,Andrey Andreev,48,2000,2022,4,Technology,United Kingdom,,London,United Kingdom,TRUE,M,03-02-1974,,
1513,Ramon Ang,68,2000,2022,4,Food & Beverage,Philippines,,Manila,Philippines,TRUE,M,14-01-1954,,
1513,Guilherme Benchimol,45,2000,2022,4,Finance & Investments,Brazil,,Rio de Janeiro,Brazil,TRUE,M,07-07-1976,Investor,
1513,Julio Bozano,86,2000,2022,4,Finance & Investments,Brazil,,Rio de Janeiro,Brazil,TRUE,M,01-02-1936,,
